offer_count,isRecurrentUser,antiguedadIngresos,offered_rate,numeroPagos,fico,isFraud,took_loan
3,0,7,0.49667842934898077,16,541,0,0
4,1,3,0.316401159571065,19,511,0,1
1,1,14,0.4939382975868376,1,820,1,0
3,1,10,0.475598568834391,5,733,1,1
3,1,16,0.2811254856843667,22,828,0,1
4,0,16,0.17939642984213966,24,630,1,0
1,1,10,0.16595391062605538,4,614,0,1
1,0,13,0.19599574554798302,18,717,0,0
3,0,6,0.384053056225815,16,636,1,1
2,0,12,0.20917999789259514,18,605,1,0
3,0,9,0.23657010784171933,22,678,1,0
3,0,13,0.2795115215978459,2,515,1,1
3,1,4,0.4652930721685825,21,741,0,1
3,1,11,0.17575736715393844,29,833,1,1
4,1,18,0.10201062104392125,26,725,1,1
1,1,11,0.12403856415126807,21,741,1,1
4,0,4,0.4619065366720472,17,640,0,1
4,1,18,0.35900658593734525,16,698,1,1
4,0,1,0.2092162477311227,31,611,1,1
3,1,7,0.17087700040447645,9,626,0,1
2,0,6,0.21770669465484574,31,520,0,0
1,0,15,0.14591877090051206,14,646,0,0
2,1,18,0.4766131641137764,2,588,0,0
4,0,11,0.4136824697461068,14,802,0,1
4,0,15,0.2849564707650163,33,702,1,0
2,1,16,0.4459850420460808,35,584,0,1
2,0,7,0.19978328171729293,20,666,0,0
2,1,10,0.3868482273888775,2,571,0,1
4,1,12,0.44245299960549744,19,797,0,1
4,1,14,0.24270748464930905,18,508,0,1
1,0,5,0.40298577818028714,16,780,0,0
1,0,18,0.21802893970572376,4,757,0,0
4,0,5,0.21954285410361232,12,774,0,1
2,1,3,0.14282287142167444,29,737,1,1
2,0,5,0.2760232186037595,7,519,1,0
1,1,17,0.39188476259896887,14,732,1,1
4,1,19,0.47608832222851405,12,720,0,1
1,0,19,0.34151879677163843,35,825,0,0
1,1,12,0.44525421509429564,5,516,0,0
3,0,9,0.42899785971609083,17,588,1,0
3,0,1,0.16933722119011235,32,695,0,0
3,0,18,0.2943269715650526,10,849,0,1
2,0,4,0.1467694142101566,17,583,0,1
4,0,10,0.37286126462465397,5,586,1,1
4,1,7,0.47995986729843043,9,806,1,1
4,1,1,0.1548357832315026,33,837,0,1
4,1,17,0.39355325232101657,18,653,1,1
3,0,2,0.35289526034714436,9,727,0,1
2,0,11,0.3334420148032399,29,763,0,0
2,0,9,0.25604809387533567,14,722,1,0
3,1,7,0.24205265910152504,25,620,1,1
2,0,17,0.11809967560755515,15,672,1,0
3,1,17,0.1871634833008054,6,503,1,1
4,1,2,0.10607075291473077,29,841,0,1
3,0,6,0.3325668422328082,15,627,0,1
4,0,14,0.14234129435116355,29,609,1,1
4,1,6,0.44920775761188647,4,536,1,1
1,0,2,0.3092572082788661,18,570,0,0
3,1,1,0.3798759636234834,16,788,0,1
1,0,10,0.2643428367361986,11,530,0,0
3,0,5,0.32423192360041947,14,767,0,1
3,1,2,0.47706367078665224,3,510,1,0
1,0,16,0.13309361584946833,18,843,1,0
1,1,2,0.20157510876947848,20,827,1,0
3,0,10,0.4119953307642178,25,531,0,1
2,1,2,0.13949488275306635,13,556,0,1
4,1,16,0.13026444156164435,4,665,1,1
1,0,16,0.24461655950161543,14,687,1,0
4,1,19,0.13686718338897294,33,841,1,1
2,0,7,0.33403137688248125,28,518,0,0
2,0,12,0.19051010032663995,8,615,1,1
2,0,15,0.458279185279749,34,683,0,0
1,1,8,0.41340003233810274,5,769,1,0
2,1,6,0.3798820824397905,5,532,1,0
1,0,10,0.3467776109538008,31,509,1,0
2,0,3,0.4453862921365853,9,579,0,1
4,1,19,0.18922482461710277,32,691,0,1
4,0,17,0.4492435371056911,33,819,0,0
3,0,7,0.41579691936962093,3,689,0,1
4,1,4,0.39926433055507426,30,567,0,1
3,0,14,0.32450227122996966,12,847,0,0
4,1,15,0.19849766438824004,29,624,1,1
1,0,8,0.26941916639675856,3,835,0,1
4,1,15,0.4174282618155206,26,558,1,1
3,0,14,0.11271139374292978,30,596,0,0
3,0,9,0.4128203077055034,9,774,1,1
2,1,8,0.1960282961950266,26,648,1,1
1,0,17,0.15772368028864123,2,777,0,1
