offer_count,isRecurrentUser,antiguedadIngresos,offered_rate,numeroPagos,fico,isFraud,took_loan,probability,segment
3,0,7,0.4966784293489807,16,541,0,0,0.37149514456180416,Low
4,1,3,0.316401159571065,19,511,0,1,0.919742771014867,Very High
1,1,14,0.4939382975868376,1,820,1,0,0.31928119913824465,Low
3,1,10,0.475598568834391,5,733,1,1,0.7842958737015493,High
3,1,16,0.2811254856843667,22,828,0,1,0.7529209692962848,High
4,0,16,0.1793964298421396,24,630,1,0,0.6850896411689011,High
1,1,10,0.1659539106260553,4,614,0,1,0.47819603782817766,Medium
1,0,13,0.195995745547983,18,717,0,0,0.09683824234758609,Very Low
3,0,6,0.384053056225815,16,636,1,1,0.40567695855600056,Medium
2,0,12,0.2091799978925951,18,605,1,0,0.24489061588792047,Low
3,0,9,0.2365701078417193,22,678,1,0,0.4237396546932318,Medium
3,0,13,0.2795115215978459,2,515,1,1,0.5527202264359165,Medium
3,1,4,0.4652930721685825,21,741,0,1,0.7155061971952669,High
3,1,11,0.1757573671539384,29,833,1,1,0.7626741631511916,High
4,1,18,0.1020106210439212,26,725,1,1,0.9204953303804081,Very High
1,1,11,0.124038564151268,21,741,1,1,0.37715107546953164,Low
4,0,4,0.4619065366720472,17,640,0,1,0.6110081371485883,High
4,1,18,0.3590065859373452,16,698,1,1,0.9050142525767567,Very High
4,0,1,0.2092162477311227,31,611,1,1,0.6505559555271792,High
3,1,7,0.1708770004044764,9,626,0,1,0.8594516196503889,Very High
2,0,6,0.2177066946548457,31,520,0,0,0.2010371937872822,Low
1,0,15,0.145918770900512,14,646,0,0,0.1194787275109721,Very Low
2,1,18,0.4766131641137764,2,588,0,0,0.603922915792888,High
4,0,11,0.4136824697461068,14,802,0,1,0.6109244423032663,High
4,0,15,0.2849564707650163,33,702,1,0,0.5798430051282752,Medium
2,1,16,0.4459850420460808,35,584,0,1,0.42728597631015836,Medium
2,0,7,0.1997832817172929,20,666,0,0,0.22913458201167286,Low
2,1,10,0.3868482273888775,2,571,0,1,0.6499509927310929,High
4,1,12,0.4424529996054974,19,797,0,1,0.87558610720733,Very High
4,1,14,0.242707484649309,18,508,0,1,0.9283136273003992,Very High
1,0,5,0.4029857781802871,16,780,0,0,0.07053950885723287,Very Low
1,0,18,0.2180289397057237,4,757,0,0,0.12024108504187163,Very Low
4,0,5,0.2195428541036123,12,774,0,1,0.70731575583398,High
2,1,3,0.1428228714216744,29,737,1,1,0.5786282914291203,Medium
2,0,5,0.2760232186037595,7,519,1,0,0.2907963696269368,Low
1,1,17,0.3918847625989688,14,732,1,1,0.3058046227906731,Low
4,1,19,0.476088322228514,12,720,0,1,0.8908575749867755,Very High
1,0,19,0.3415187967716384,35,825,0,0,0.04749151631435431,Very Low
1,1,12,0.4452542150942956,5,516,0,0,0.3709761251532437,Low
3,0,9,0.4289978597160908,17,588,1,0,0.3884035033268412,Low
3,0,1,0.1693372211901123,32,695,0,0,0.3928141084177119,Low
3,0,18,0.2943269715650526,10,849,0,1,0.4213420895977187,Medium
2,0,4,0.1467694142101566,17,583,0,1,0.27472339029769194,Low
4,0,10,0.3728612646246539,5,586,1,1,0.7189424863574615,High
4,1,7,0.4799598672984304,9,806,1,1,0.8956775815784093,Very High
4,1,1,0.1548357832315026,33,837,0,1,0.8936720895811433,Very High
4,1,17,0.3935532523210165,18,653,1,1,0.89904077211144,Very High
3,0,2,0.3528952603471443,9,727,0,1,0.43870887582631707,Medium
2,0,11,0.3334420148032399,29,763,0,0,0.14754076892978385,Very Low
2,0,9,0.2560480938753356,14,722,1,0,0.2310549084386348,Low
3,1,7,0.242052659101525,25,620,1,1,0.7915228451834135,High
2,0,17,0.1180996756075551,15,672,1,0,0.2757288441020972,Low
3,1,17,0.1871634833008054,6,503,1,1,0.8749537836862489,Very High
4,1,2,0.1060707529147307,29,841,0,1,0.9091029193544662,Very High
3,0,6,0.3325668422328082,15,627,0,1,0.43014686749124104,Medium
4,0,14,0.1423412943511635,29,609,1,1,0.6788035788412531,High
4,1,6,0.4492077576118864,4,536,1,1,0.9275515764215777,Very High
1,0,2,0.3092572082788661,18,570,0,0,0.09307903154794533,Very Low
3,1,1,0.3798759636234834,16,788,0,1,0.7615082478470462,High
1,0,10,0.2643428367361986,11,530,0,0,0.11673959831112458,Very Low
3,0,5,0.3242319236004194,14,767,0,1,0.41187047513750175,Medium
3,1,2,0.4770636707866522,3,510,1,0,0.8242420550036359,Very High
1,0,16,0.1330936158494683,18,843,1,0,0.098443203871785,Very Low
1,1,2,0.2015751087694784,20,827,1,0,0.34105470736262405,Low
3,0,10,0.4119953307642178,25,531,0,1,0.35671505981191454,Low
2,1,2,0.1394948827530663,13,556,0,1,0.6969036160069494,High
4,1,16,0.1302644415616443,4,665,1,1,0.9513908731972369,Very High
1,0,16,0.2446165595016154,14,687,1,0,0.10089534915356121,Very Low
4,1,19,0.1368671833889729,33,841,1,1,0.8931268638270021,Very High
2,0,7,0.3340313768824812,28,518,0,0,0.18011151988501525,Very Low
2,0,12,0.1905101003266399,8,615,1,1,0.2961685963156369,Low
2,0,15,0.458279185279749,34,683,0,0,0.11528432052350174,Very Low
1,1,8,0.4134000323381027,5,769,1,0,0.3433085644254373,Low
2,1,6,0.3798820824397905,5,532,1,0,0.6516471866922204,High
1,0,10,0.3467776109538008,31,509,1,0,0.06900930735781748,Very Low
2,0,3,0.4453862921365853,9,579,0,1,0.21378595388263807,Low
4,1,19,0.1892248246171027,32,691,0,1,0.8963926303515787,Very High
4,0,17,0.4492435371056911,33,819,0,0,0.47697946126927243,Medium
3,0,7,0.4157969193696209,3,689,0,1,0.4502646739710981,Medium
4,1,4,0.3992643305550742,30,567,0,1,0.879077971952964,Very High
3,0,14,0.3245022712299696,12,847,0,0,0.4004273886097885,Medium
4,1,15,0.19849766438824,29,624,1,1,0.9089902419577489,Very High
1,0,8,0.2694191663967585,3,835,0,1,0.10994862720662824,Very Low
4,1,15,0.4174282618155206,26,558,1,1,0.885028890045383,Very High
3,0,14,0.1127113937429297,30,596,0,0,0.4387667294783167,Medium
3,0,9,0.4128203077055034,9,774,1,1,0.4033797583364451,Medium
2,1,8,0.1960282961950266,26,648,1,1,0.5872660773708399,Medium
1,0,17,0.1577236802886412,2,777,0,1,0.13584963845244888,Very Low
4,1,2,0.1462805272721208,3,764,1,1,0.9493197978629598,Very High
2,0,3,0.110900004780326,4,508,0,0,0.3692200946555365,Low
4,1,8,0.3094345940885812,25,782,0,1,0.8878612235852301,Very High
4,1,12,0.1873039490774918,13,772,0,1,0.9284711073421633,Very High
2,1,1,0.4957727063118526,35,800,0,0,0.3742283760326968,Low
2,1,10,0.3297747023488823,23,507,1,1,0.5741060263242533,Medium
2,0,3,0.1551541077424041,9,707,0,1,0.2896926985203266,Low
2,0,6,0.3755050163245461,2,624,1,1,0.26127754192839836,Low
2,1,7,0.4590974266038902,31,622,1,0,0.4490743391189001,Medium
4,1,18,0.3980717981478457,2,532,1,1,0.9342234469267846,Very High
2,1,11,0.130575944415779,32,500,0,1,0.6032728445399139,High
1,0,19,0.4583536724770638,18,703,1,0,0.0641021176644644,Very Low
3,0,5,0.4175717543439859,13,505,0,1,0.4305728776838038,Medium
2,0,19,0.1633215600422457,5,796,1,0,0.2851940621460923,Low
2,0,11,0.1207143554931267,10,504,0,0,0.3283565007857834,Low
4,1,12,0.3229242301257234,25,579,0,1,0.900401386141454,Very High
2,1,10,0.1624143245359907,34,773,0,0,0.5229909464347553,Medium
2,1,8,0.4338363810381088,30,676,0,0,0.4488140005889847,Medium
2,0,9,0.2433338626686695,7,837,1,0,0.24779111491677586,Low
4,0,4,0.4651569778946302,6,820,1,1,0.6403507746243988,High
2,0,5,0.3262752688564023,3,838,0,1,0.2364741161184072,Low
3,1,8,0.1730689536958672,13,635,1,0,0.8485435260930205,Very High
4,1,9,0.15583954694392,3,524,0,1,0.9556404192950135,Very High
3,0,15,0.3305889750231016,26,824,0,1,0.3255148744001221,Low
4,1,15,0.4047534447449775,24,682,1,1,0.8815730293663867,Very High
2,0,16,0.4126022590968728,6,667,0,0,0.21639924934647042,Low
3,0,14,0.2103029617765125,12,837,0,1,0.45164757086733515,Medium
4,1,8,0.181698703564867,2,677,0,1,0.9490188188024067,Very High
1,0,18,0.1067025217969529,11,594,0,0,0.139016029188163,Very Low
2,1,10,0.3716796604804677,34,532,0,0,0.48083849045175914,Medium
4,0,6,0.1306273033734156,26,610,1,0,0.7033779523211235,High
1,1,12,0.2683044807063703,18,645,1,0,0.3523833642881817,Low
4,1,2,0.3406728656073184,21,730,1,1,0.8994573987954528,Very High
1,1,7,0.4748435779678708,22,771,0,0,0.23547391430379241,Low
2,0,16,0.2247208547823074,30,835,0,0,0.15961429142631178,Very Low
3,0,3,0.1999088649786079,30,537,0,0,0.42138606306531556,Medium
1,1,13,0.3616640617144394,8,634,0,0,0.36527925215141227,Low
4,1,3,0.3476956128214327,34,833,0,1,0.8535039035683419,Very High
2,0,18,0.2328439133232498,9,734,0,0,0.24929185443312124,Low
1,0,11,0.4712407342039146,20,818,1,0,0.056152240048984454,Very Low
4,0,8,0.4379449309958531,25,844,0,0,0.5307914817928512,Medium
4,1,6,0.1895930183460324,19,659,1,1,0.9276723606618918,Very High
4,0,1,0.1956570181738093,5,537,0,1,0.7856359645341772,High
1,0,1,0.3049201387548322,11,649,1,1,0.10477851166682954,Very Low
1,1,8,0.4094288406922881,15,807,0,0,0.28287972715554505,Low
1,0,5,0.1176161517553857,8,528,1,1,0.16030554647159487,Very Low
3,0,16,0.3773340614938827,19,643,1,1,0.3828863691775923,Low
1,0,11,0.3592943589528388,23,575,0,0,0.07484371674530761,Very Low
1,1,5,0.1925920383651953,27,644,0,0,0.33487491776335954,Low
1,1,4,0.3725412052965395,32,728,1,0,0.2374113196546163,Low
3,1,6,0.4760732765008331,26,563,0,1,0.716491754174421,High
1,1,14,0.1187143379887074,27,846,0,1,0.32050059428895034,Low
4,1,19,0.227860822116825,19,844,0,1,0.9062841743877109,Very High
1,1,9,0.2752706866665421,29,768,1,0,0.274229176203102,Low
4,1,12,0.4597041435698759,33,827,0,1,0.8271794475390466,Very High
4,0,11,0.4849045786436626,19,683,1,1,0.5812291657121668,Medium
4,0,14,0.2776460985985329,19,760,1,1,0.6502318939830076,High
3,1,16,0.4000113648568765,33,767,0,0,0.6672793242751505,High
3,0,1,0.3126644095057932,16,668,1,1,0.43359002541130315,Medium
3,0,13,0.3151131738965506,23,758,0,1,0.3613491329484628,Low
1,1,13,0.2112398060265425,7,726,0,1,0.41577068008484525,Medium
4,0,2,0.1867824983455518,26,532,1,1,0.6987875121976287,High
3,0,4,0.2152021383696164,32,713,1,1,0.37301232208415647,Low
3,0,6,0.3225312029028317,12,549,1,0,0.47333526233564144,Medium
1,0,5,0.1116620744088356,8,709,1,0,0.1423548589600006,Very Low
3,0,3,0.4628995777425623,5,528,1,0,0.4594619641171938,Medium
1,1,1,0.1625134838199105,28,538,0,0,0.3643833626129835,Low
2,1,4,0.1880354707485546,5,846,1,1,0.6703503968441168,High
3,1,2,0.3073104705790586,26,599,0,1,0.7697797456213236,High
2,0,5,0.3840459065349118,5,672,0,0,0.23447866011105942,Low
1,1,3,0.1382916218977589,22,516,1,0,0.41609715080096776,Medium
4,0,9,0.2270778790188649,15,555,1,1,0.7289441852908423,High
3,0,6,0.4874698422297429,13,725,1,0,0.3618320709816376,Low
1,0,18,0.2049371867123783,28,545,1,1,0.08821222480160343,Very Low
4,0,6,0.2252200580252587,33,566,1,1,0.6383313427319555,High
4,1,19,0.4345993962472134,23,696,0,1,0.8736047260364835,Very High
2,1,12,0.1200857726761821,33,641,0,0,0.5729240716249643,Medium
1,0,11,0.2858452675235883,18,822,0,0,0.07781637684788174,Very Low
4,1,2,0.2518467057806681,30,522,1,1,0.9095726389103824,Very High
3,0,15,0.2266347039634604,26,593,1,0,0.4177399059365655,Medium
3,1,12,0.2142798376179058,16,741,0,1,0.8112576555321702,Very High
2,1,12,0.1365496419441637,13,736,1,0,0.6634509648126756,High
4,0,9,0.2259303317406595,33,553,1,1,0.6384078960005117,High
1,1,2,0.1172209610862674,26,637,1,0,0.37907569529285723,Low
3,0,3,0.4123855454577741,1,832,0,0,0.43709510701381027,Medium
4,1,12,0.2592911175832046,2,771,1,1,0.9380795473300466,Very High
4,0,16,0.2775615329279646,6,540,0,1,0.7469160170775168,High
2,0,1,0.4574378345800526,24,597,1,0,0.159114287747215,Very Low
3,1,3,0.3632219935444883,18,682,1,1,0.7766645320013749,High
3,1,2,0.1032236413368479,27,627,0,1,0.8205483954428411,Very High
1,0,9,0.477269929184514,8,728,1,0,0.07808926077093396,Very Low
3,1,19,0.1948577863910845,28,816,1,1,0.7589341457615651,High
1,1,15,0.1430456739039435,10,585,1,1,0.4604790590098781,Medium
3,0,18,0.4072512713523529,17,755,0,0,0.3535785504807228,Low
2,0,11,0.3001909263466873,29,708,1,1,0.16404178275815207,Very Low
3,1,16,0.273508226407207,6,714,1,1,0.8349297658498103,Very High
1,0,17,0.1998012318730967,14,599,1,0,0.11524586530131486,Very Low
1,0,5,0.3189885959449274,22,548,1,0,0.0864473901809122,Very Low
2,0,12,0.2097538420810349,6,700,1,0,0.28434521566008963,Low
3,1,11,0.460633202114827,26,757,0,0,0.685199871887075,High
3,1,15,0.1860817918932771,12,677,0,1,0.8383794519785678,Very High
2,0,3,0.4537420601823014,35,744,1,0,0.1144538258361192,Very Low
3,1,1,0.3237621702909428,14,622,1,1,0.8124864387510298,Very High
3,0,16,0.4313952535580964,22,841,0,0,0.30382432127500814,Low
1,1,2,0.385138398344382,23,670,1,0,0.28443976350420613,Low
3,0,2,0.3786780445746994,7,832,1,1,0.42293843462839775,Medium
3,0,3,0.2297383230780223,25,635,1,0,0.4226331181454811,Medium
